scene_id,scene_name,light_condition,thermal_rendering,view_type,scene_family,valid_pairs,qa_status,canonical_scene_pass,reliability_score,reliability_rank,accepted_frames,attempted_frames,accepted_ratio,accepted_total_ratio,severe_outlier_count,severe_outlier_ratio,robust_reject_ratio,delta_edge_f1,delta_grad_ncc,improved_grad_ratio,median_disp_to_aggregate_mean_px,mean_inlier_ratio,mean_coverage,mean_reproj_error,qa_warning_codes
01,01_day_grayscale_wide_substation_power_lines_50,day,grayscale,wide,substation_power_lines,50,pass,True,97.2154212352976,1,49,50,0.98,0.98,0,0.0,0.0,0.1444934813031245,0.1242149360102646,0.8333333333333334,296.93057166341055,0.5677366103779493,0.9732142857142857,1.6124070250258153,"['high_modality_gap', 'homography_dispersion_warning', 'weak_h0_baseline']"
02,02_day_grayscale_zoom_substation_power_lines_50,day,grayscale,zoom,substation_power_lines,50,fail,False,39.94950896109922,14,49,50,0.98,0.98,2,0.16666666666666666,0.30612244897959184,0.0430223617021494,0.05425963680833007,0.8333333333333334,67.79113657104207,0.5070814886382407,0.9655612244897959,1.5928191238520097,"['baseline_relative_qa_outliers', 'high_modality_gap', 'high_robust_reject_ratio', 'homography_dispersion_warning', 'qa_outliers_exceed_warning_limit', 'weak_h0_baseline']"
03,03_night_grayscale_wide_substation_power_lines_45,night,grayscale,wide,substation_power_lines,45,fail,False,54.57540024007047,12,37,45,0.8222222222222222,0.8222222222222222,1,0.08333333333333333,0.43243243243243246,0.17090901270956088,0.2111731844699489,0.75,9.210549809771525,0.5508554278283024,0.9712837837837838,1.6037476578274288,"['baseline_relative_qa_outliers', 'high_modality_gap', 'high_robust_reject_ratio', 'weak_h0_baseline']"
04,04_night_grayscale_zoom_substation_power_lines_45,night,grayscale,zoom,substation_power_lines,45,pass,True,72.88141340039029,6,36,45,0.8,0.8,0,0.0,0.16666666666666666,0.0768082038764305,0.10835644702334363,1.0,17.356082057494767,0.4476629135094743,0.9513888888888888,1.6850295927789476,"['high_modality_gap', 'weak_h0_baseline']"
05,05_night_pseudocolor_solar_panels_1315,night,pseudocolor,general,solar_panels,1315,pass,True,67.67895398903683,7,32,197,0.16243654822335024,0.024334600760456272,0,0.0,0.0625,0.11098259787277168,0.11390269670271427,0.9166666666666666,18.54122494258821,0.34569602380972275,1.0,1.777647789567709,"['high_modality_gap', 'low_accepted_ratio', 'weak_h0_baseline']"
06,06_day_pseudocolor_solar_panels_1037,day,pseudocolor,general,solar_panels,1037,pass,True,89.00212345732112,2,891,1037,0.8592092574734812,0.8592092574734812,0,0.0,0.07856341189674523,0.16264082092578716,0.13922967275619547,0.9166666666666666,35.74420742544212,0.45137129105516466,1.0,1.7318696667984814,"['high_modality_gap', 'homography_dispersion_warning', 'weak_h0_baseline']"
07,07_day_grayscale_transmission_tower_102,day,grayscale,general,transmission_tower,102,pass,True,77.97282264677922,4,92,102,0.9019607843137255,0.9019607843137255,0,0.0,0.22826086956521738,0.14195705552799714,0.20022285627681313,1.0,5.019386790549956,0.40055661961754274,1.0,1.7148896585340085,"['high_modality_gap', 'weak_h0_baseline']"
08,08_night_grayscale_urban_422,night,grayscale,general,urban,422,pass,True,65.6526664504032,8,155,422,0.36729857819905215,0.36729857819905215,0,0.0,0.16774193548387098,0.09846859068091876,0.146260191125551,1.0,31.208949635428976,0.3569527328482003,1.0,1.781030539543398,"['high_modality_gap', 'homography_dispersion_warning', 'low_accepted_ratio', 'weak_h0_baseline']"
09,09_day_pseudocolor_building_614,day,pseudocolor,general,building,614,fail,False,57.11252701999271,11,428,614,0.6970684039087948,0.6970684039087948,1,0.08333333333333333,0.08644859813084112,0.10146835843333721,0.10224844531202301,0.75,74.02883459286375,0.39177225085273254,1.0,1.7005130514920315,"['baseline_relative_qa_outliers', 'high_modality_gap', 'homography_dispersion_warning', 'low_accepted_ratio', 'weak_h0_baseline']"
10,10_day_pseudocolor_factory_262,day,pseudocolor,general,factory,262,pass,True,73.93602396187781,5,69,262,0.2633587786259542,0.2633587786259542,0,0.0,0.08695652173913043,0.21417715827346046,0.17479210367937642,0.9166666666666666,30.831488953275837,0.41058898292819557,1.0,1.744368679281594,"['high_modality_gap', 'homography_dispersion_warning', 'low_accepted_ratio', 'weak_h0_baseline']"
11,11_night_grayscale_building_181,night,grayscale,general,building,181,fail,False,52.12505732928226,13,101,181,0.5580110497237569,0.5580110497237569,1,0.08333333333333333,0.12871287128712872,0.11909374387934826,0.11421640112225648,0.75,28.057275820373697,0.36170439254727565,1.0,1.7998353726793044,"['baseline_relative_qa_outliers', 'high_modality_gap', 'homography_dispersion_warning', 'low_accepted_ratio', 'weak_h0_baseline']"
12,12_day_grayscale_orchard_588,day,grayscale,general,orchard,588,pass_with_warning,True,58.24743416542736,10,72,88,0.8181818181818182,0.12244897959183673,1,0.08333333333333333,0.027777777777777776,0.07459319706522125,0.032840447969311785,0.6666666666666666,20.645652772147933,0.41973302729102957,1.0,1.7840738478634093,"['baseline_relative_qa_outliers', 'high_modality_gap', 'legacy_hard_gate_failed', 'weak_h0_baseline']"
13,13_lowlight_pseudocolor_road_469,lowlight,pseudocolor,general,road,467,fail,False,58.3155610726478,9,321,467,0.6873661670235546,0.6873661670235546,1,0.08333333333333333,0.1526479750778816,0.23176481429916787,0.2314950411578665,0.9166666666666666,36.713561654264254,0.39273032936229363,1.0,1.787073410188669,"['baseline_relative_qa_outliers', 'high_modality_gap', 'homography_dispersion_warning', 'low_accepted_ratio', 'weak_h0_baseline']"
14,14_lowlight_pseudocolor_transmission_tower_673,lowlight,pseudocolor,general,transmission_tower,673,pass,True,80.91203421479717,3,95,101,0.9405940594059405,0.1411589895988113,0,0.0,0.2,0.18468800885629785,0.13321385671744965,0.9166666666666666,13.974348700493378,0.45054671483464065,1.0,1.73647462568785,"['high_modality_gap', 'weak_h0_baseline']"
15,15_lowlight_pseudocolor_woodland_186,lowlight,pseudocolor,general,woodland,186,fail,False,37.14508979232748,15,46,186,0.24731182795698925,0.24731182795698925,1,0.08333333333333333,0.10869565217391304,0.08502174261794176,0.016477987305913662,0.4166666666666667,45.87169057273975,0.3901371401829182,1.0,1.684569283672001,"['baseline_relative_qa_outliers', 'high_modality_gap', 'homography_dispersion_warning', 'low_accepted_ratio', 'low_grad_improved_ratio', 'weak_h0_baseline']"
