group_by,group,scene_count,canonical_retained_scene_count,canonical_scene_retention_macro,valid_pairs_micro,pair_coverage_share,accepted_attempted_ratio_micro,accepted_total_ratio_micro,mean_reliability_score_macro,mean_severe_outlier_ratio_macro,mean_robust_reject_ratio_macro,mean_delta_edge_f1_macro,mean_delta_grad_ncc_macro
light_condition,day,7,5,0.7142857142857143,2703,0.4477389431837005,0.7489786654561961,0.6104328523862376,70.49083734968501,0.047619047619047616,0.11630423258418628,0.1260503476044396,0.11825829983033065
light_condition,lowlight,3,1,0.3333333333333333,1326,0.2196455192976644,0.6127320954907162,0.34841628959276016,58.79089502659082,0.05555555555555555,0.15378120908393153,0.16715818859113582,0.12706229506040992
light_condition,night,5,3,0.6,2008,0.3326155375186351,0.40561797752808987,0.1797808764940239,62.58269828183661,0.03333333333333333,0.19161078117401975,0.11525242980380601,0.13878178408876285
thermal_rendering,grayscale,8,5,0.625,1483,0.2456518138148087,0.6012207527975585,0.3985165205664194,64.8274655535937,0.05208333333333333,0.18221437527408574,0.10866820584309383,0.12394301260072745
thermal_rendering,pseudocolor,7,4,0.5714285714285714,4554,0.7543481861851913,0.6571229050279329,0.4132630654369785,66.300330501143,0.03571428571428571,0.11083030843121591,0.15582050018268054,0.13019425766164844
view_type,general,11,7,0.6363636363636364,5847,0.9685274142786152,0.6294777139732021,0.3937061741063793,65.28184491817208,0.03787878787878787,0.12075505573931875,0.13862328076656813,0.12771815455686106
view_type,wide,2,1,0.5,95,0.015736292860692398,0.9052631578947369,0.9052631578947369,75.89541073768403,0.041666666666666664,0.21621621621621623,0.1577012470063427,0.16769406024010675
view_type,zoom,2,1,0.5,95,0.015736292860692398,0.8947368421052632,0.8947368421052632,56.41546118074476,0.08333333333333333,0.23639455782312924,0.05991528278928995,0.08130804191583685
scene_family,building,2,0,0.0,795,0.13168792446579428,0.6654088050314465,0.6654088050314465,54.618792174637484,0.08333333333333333,0.10758073470898491,0.11028105115634274,0.10823242321713974
scene_family,factory,1,1,1.0,262,0.043399039257909555,0.2633587786259542,0.2633587786259542,73.93602396187781,0.0,0.08695652173913043,0.21417715827346046,0.17479210367937642
scene_family,orchard,1,1,1.0,588,0.09739937054828557,0.8181818181818182,0.12244897959183673,58.24743416542736,0.08333333333333333,0.027777777777777776,0.07459319706522125,0.032840447969311785
scene_family,road,1,0,0.0,467,0.07735630279940368,0.6873661670235546,0.6873661670235546,58.3155610726478,0.08333333333333333,0.1526479750778816,0.23176481429916787,0.2314950411578665
scene_family,solar_panels,2,2,1.0,2352,0.3895974821931423,0.7479740680713128,0.3924319727891156,78.34053872317898,0.0,0.07053170594837262,0.13681170939927942,0.12656618472945486
scene_family,substation_power_lines,4,2,0.5,190,0.031472585721384796,0.9,0.9,66.1554359592144,0.0625,0.22630538701967273,0.10880826489781632,0.12450105107797181
scene_family,transmission_tower,2,2,1.0,775,0.1283750207056485,0.9211822660098522,0.24129032258064517,79.4424284307882,0.0,0.21413043478260868,0.16332253219214748,0.1667183564971314
scene_family,urban,1,1,1.0,422,0.0699022693390757,0.36729857819905215,0.36729857819905215,65.6526664504032,0.0,0.16774193548387098,0.09846859068091876,0.146260191125551
scene_family,woodland,1,0,0.0,186,0.03081000496935564,0.24731182795698925,0.24731182795698925,37.14508979232748,0.08333333333333333,0.10869565217391304,0.08502174261794176,0.016477987305913662
