"method","group_by","group","pair_count","ok_count","homography_available_count","h_availability_pct","mean_inlier_ratio","mean_coverage","median_reprojection_error","runtime_pair_sec","status_counts"
"SIFT","light_condition","day","2703","2200","2200","81.39","0.215","0.555","0","7.84","{""error"":153,""fit_failed"":149,""insufficient_matches"":184,""no_matches"":17,""ok"":2200}"
"SIFT","light_condition","lowlight","1326","1160","1160","87.48","0.311","0.495","0","2.172","{""fit_failed"":107,""insufficient_matches"":55,""no_matches"":4,""ok"":1160}"
"SIFT","light_condition","night","2008","1897","1897","94.47","0.234","0.811","0.061","1.303","{""fit_failed"":33,""insufficient_matches"":6,""no_matches"":72,""ok"":1897}"
"SIFT","thermal_rendering","grayscale","1483","1454","1454","98.04","0.257","0.658","0","9.171","{""error"":4,""fit_failed"":18,""insufficient_matches"":6,""no_matches"":1,""ok"":1454}"
"SIFT","thermal_rendering","pseudocolor","4554","3803","3803","83.51","0.238","0.617","0","2.874","{""error"":149,""fit_failed"":271,""insufficient_matches"":239,""no_matches"":92,""ok"":3803}"
"SIFT","view","None","5847","5072","5072","86.75","0.244","0.626","0","4.485","{""error"":149,""fit_failed"":288,""insufficient_matches"":245,""no_matches"":93,""ok"":5072}"
"SIFT","view","wide","95","94","94","98.95","0.198","0.683","0.183","2.562","{""fit_failed"":1,""ok"":94}"
"SIFT","view","zoom","95","91","91","95.79","0.2","0.666","0.135","2.323","{""error"":4,""ok"":91}"
"AKAZE","light_condition","day","2703","2513","2513","92.97","0.144","0.734","0.023","1.301","{""fit_failed"":101,""insufficient_matches"":77,""no_matches"":12,""ok"":2513}"
"AKAZE","light_condition","lowlight","1326","1268","1268","95.63","0.203","0.672","0.084","0.967","{""fit_failed"":35,""insufficient_matches"":22,""no_matches"":1,""ok"":1268}"
"AKAZE","light_condition","night","2008","1911","1911","95.17","0.154","0.764","0.23","0.926","{""fit_failed"":16,""insufficient_matches"":2,""no_matches"":79,""ok"":1911}"
"AKAZE","thermal_rendering","grayscale","1483","1478","1478","99.66","0.134","0.809","0.104","1.232","{""fit_failed"":4,""insufficient_matches"":1,""ok"":1478}"
"AKAZE","thermal_rendering","pseudocolor","4554","4214","4214","92.53","0.168","0.705","0.105","1.061","{""fit_failed"":148,""insufficient_matches"":100,""no_matches"":92,""ok"":4214}"
"AKAZE","view","None","5847","5503","5503","94.12","0.16","0.733","0.098","1.108","{""fit_failed"":151,""insufficient_matches"":101,""no_matches"":92,""ok"":5503}"
"AKAZE","view","wide","95","94","94","98.95","0.16","0.661","0.268","0.989","{""fit_failed"":1,""ok"":94}"
"AKAZE","view","zoom","95","95","95","100","0.146","0.649","0.262","0.87","{""ok"":95}"
